zone,section,quality_score,rationale
Lofts,LOFT09,0.81,Lofts semi-private premium box LOFT09 with curated dining and panoramic upper-level view above the main bowl.
Loge,20,0.70,Standard loge-level seating in section 20 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE1,0.70,Standard loge-level seating in section LOGE1 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE10,0.70,Standard loge-level seating in section LOGE10 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE11,0.70,Standard loge-level seating in section LOGE11 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE12,0.70,Standard loge-level seating in section LOGE12 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE13,0.70,Standard loge-level seating in section LOGE13 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE14,0.70,Standard loge-level seating in section LOGE14 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE15,0.70,Standard loge-level seating in section LOGE15 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE16,0.70,Standard loge-level seating in section LOGE16 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE17,0.70,Standard loge-level seating in section LOGE17 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE18,0.70,Standard loge-level seating in section LOGE18 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE19,0.70,Standard loge-level seating in section LOGE19 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE2,0.70,Standard loge-level seating in section LOGE2 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE20,0.70,Standard loge-level seating in section LOGE20 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE21,0.70,Standard loge-level seating in section LOGE21 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE3,0.70,Standard loge-level seating in section LOGE3 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE4,0.70,Standard loge-level seating in section LOGE4 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE5,0.70,Standard loge-level seating in section LOGE5 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE6,0.70,Standard loge-level seating in section LOGE6 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE7,0.70,Standard loge-level seating in section LOGE7 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE8,0.70,Standard loge-level seating in section LOGE8 with good lower-bowl proximity and sightlines without club-level perks.
Loge,LOGE9,0.70,Standard loge-level seating in section LOGE9 with good lower-bowl proximity and sightlines without club-level perks.
Loge,Loge,0.70,Generic loge designation; typical lower-bowl distance and angle with solid sightlines but no added club perks.
Loge Baseline,17,0.61,Lower-bowl baseline section 17; close to action behind basket or goal but some plays partially blocked.
Loge Baseline,18,0.61,Lower-bowl baseline section 18; close to action behind basket or goal but some plays partially blocked.
Loge Baseline,6,0.61,Lower-bowl baseline section 6; close to action behind basket or goal but some plays partially blocked.
Loge Baseline,7,0.61,Lower-bowl baseline section 7; close to action behind basket or goal but some plays partially blocked.
Loge Center,1,0.74,Center loge section 1 in lower bowl; very strong sideline sightline at comfortable distance from play.
Loge Center,11,0.74,Center loge section 11 in lower bowl; very strong sideline sightline at comfortable distance from play.
Loge Center,12,0.74,Center loge section 12 in lower bowl; very strong sideline sightline at comfortable distance from play.
Loge Center,13,0.74,Center loge section 13 in lower bowl; very strong sideline sightline at comfortable distance from play.
Loge Center,2,0.74,Center loge section 2 in lower bowl; very strong sideline sightline at comfortable distance from play.
Loge Corner,10,0.68,Corner loge section 10 in lower bowl; close to floor with more angled view than center loge.
Loge Corner,15,0.68,Corner loge section 15 in lower bowl; close to floor with more angled view than center loge.
Loge Corner,16,0.68,Corner loge section 16 in lower bowl; close to floor with more angled view than center loge.
Loge Corner,19,0.68,Corner loge section 19 in lower bowl; close to floor with more angled view than center loge.
Loge Corner,3,0.68,Corner loge section 3 in lower bowl; close to floor with more angled view than center loge.
Loge Corner,4,0.68,Corner loge section 4 in lower bowl; close to floor with more angled view than center loge.
Loge Corner,5,0.68,Corner loge section 5 in lower bowl; close to floor with more angled view than center loge.
Loge Corner,8,0.68,Corner loge section 8 in lower bowl; close to floor with more angled view than center loge.
Loge Corner,9,0.68,Corner loge section 9 in lower bowl; close to floor with more angled view than center loge.
North Lounge,North Lounge,0.80,North Lounge premium social space with bar and lounge seating plus an elevated view of the playing surface.
Rafters,RAF10,0.08,Rafters level seat RAF10 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,RAF11,0.08,Rafters level seat RAF11 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,RAF12,0.08,Rafters level seat RAF12 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,RAF13,0.08,Rafters level seat RAF13 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,RAF14,0.08,Rafters level seat RAF14 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,RAF15,0.08,Rafters level seat RAF15 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,RAF31,0.08,Rafters level seat RAF31 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,RAF32,0.08,Rafters level seat RAF32 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,RAF35,0.08,Rafters level seat RAF35 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,RAF36,0.08,Rafters level seat RAF36 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,RAF37,0.08,Rafters level seat RAF37 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,RAF38,0.08,Rafters level seat RAF38 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,RAF7,0.08,Rafters level seat RAF7 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,RAF8,0.08,Rafters level seat RAF8 on level 9 among banners; highest and farthest seating prioritizing social vibe over closeness.
Rafters,Rafters,0.08,Generic Rafters designation; top-level party deck prioritizing atmosphere at the expense of proximity to the floor.
South Lounge,South Lounge,0.80,South Lounge premium social space with bar and lounge seating plus an elevated view of the playing surface.
SportsDeck,Sports Deck,0.79,Ford SportsDeck high-energy club on level 5 with reserved seats, upscale bar, and complimentary appetizers.
Suites,S506,0.90,Private suite S506 on premium level with excellent elevated view and dedicated catering and service.
Suites,S649,0.90,Private suite S649 on premium level with excellent elevated view and dedicated catering and service.
Suites,S650,0.90,Private suite S650 on premium level with excellent elevated view and dedicated catering and service.
Suites,STE502,0.90,Private suite STE502 on premium level with excellent elevated view and dedicated catering and service.
Suites,STE512,0.90,Private suite STE512 on premium level with excellent elevated view and dedicated catering and service.
Suites,STE529,0.90,Private suite STE529 on premium level with excellent elevated view and dedicated catering and service.
Suites,STE606,0.90,Private suite STE606 on premium level with excellent elevated view and dedicated catering and service.
Suites,STE621,0.90,Private suite STE621 on premium level with excellent elevated view and dedicated catering and service.
Suites,STE634,0.90,Private suite STE634 on premium level with excellent elevated view and dedicated catering and service.
Suites,STE649,0.90,Private suite STE649 on premium level with excellent elevated view and dedicated catering and service.
Suites,STE650,0.90,Private suite STE650 on premium level with excellent elevated view and dedicated catering and service.
VIP,11,0.95,VIP floor seating near center in section 11; closest possible view with maximum exclusivity and top-tier service.
VIP,12,0.95,VIP floor seating near center in section 12; closest possible view with maximum exclusivity and top-tier service.
VIP,13,0.95,VIP floor seating near center in section 13; closest possible view with maximum exclusivity and top-tier service.
VIP,17,0.95,VIP floor seating in section 17; ultra-close view along baseline with full VIP services and access.
VIP,18,0.95,VIP floor seating in section 18; ultra-close view along baseline with full VIP services and access.
VIP,2,0.95,VIP floor seating in section 2; ultra-close sideline view with full VIP services and access.
VIP,21,0.95,VIP floor seating in section 21; ultra-close baseline or corner view with full VIP services and access.
VIP,6,0.95,VIP floor seating in section 6; ultra-close baseline view with full VIP services and access.
VIP,7,0.95,VIP floor seating in section 7; ultra-close baseline view with full VIP services and access.
